"Seviye";"Türkçe İpucu";"İngilizce Cevap";"Kelime Türü";"Sıklık Sırası";"Durum";"Durum Kodu";"İnceleyen Model";"Güven";"Önerilen İpucu";"İnceleme Gerekçesi";"Alternatifler";"Kaynak"
"A1";"Ve";"AND";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kızgın";"ANGRY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Hayvan";"ANIMAL";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Başkası";"ANOTHER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Cevap";"ANSWER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Hiç kimse";"ANYONE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Hiçbir şey";"ANYTHING";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Apartman";"APARTMENT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Elma";"APPLE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Nisan";"APRIL";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Bölge";"AREA";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kol";"ARM";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Etrafında";"AROUND";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Varmak";"ARRIVE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sanat";"ART";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Makale";"ARTICLE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Artist";"ARTIST";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Gibi";"AS";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sormak";"ASK";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Üzerinde";"AT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Ağustos";"AUGUST";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Teyze";"AUNT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sonbahar";"AUTUMN";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Uzakta";"AWAY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Bebek";"BABY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Geri";"BACK";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kötü";"BAD";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Çanta";"BAG";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Top";"BALL";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Muz";"BANANA";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Grup";"BAND";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Banka";"BANK";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Banyo";"BATH";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Tuvalet";"BATHROOM";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Olmak";"BE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sahil";"BEACH";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Güzel";"BEAUTIFUL";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Çünkü";"BECAUSE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Olmak";"BECOME";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yatak";"BED";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yatak odası";"BEDROOM";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Bira";"BEER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Önce";"BEFORE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Başlamak";"BEGIN";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Başlangıç";"BEGINNING";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Arkasında";"BEHIND";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"İnanmak";"BELIEVE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Altında";"BELOW";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Daha iyi";"BETTER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Arasında";"BETWEEN";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Bisiklet";"BICYCLE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Büyük";"BIG";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Bisiklet";"BIKE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Fatura";"BILL";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kuş";"BIRD";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Doğum günü";"BIRTHDAY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Siyah";"BLACK";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"İnternet günlüğü";"BLOG";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sarışın";"BLONDE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Mavi";"BLUE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Bot";"BOAT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Vücut";"BODY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kitap";"BOOK";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Bot";"BOOT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sıkılmış";"BORED";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sıkıcı";"BORING";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Doğmak";"BORN";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Her ikisi de";"BOTH";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Şişe";"BOTTLE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kutu";"BOX";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Erkek çocuk";"BOY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Erkek arkadaş";"BOYFRIEND";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Ekmek";"BREAD";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Ara";"BREAK";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kahvaltı";"BREAKFAST";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Getirmek";"BRING";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kardeş";"BROTHER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kahverengi";"BROWN";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"İnşa etmek";"BUILD";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Bina";"BUILDING";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Otobüs";"BUS";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"İş";"BUSINESS";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Meşgul";"BUSY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Ama";"BUT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Tereyağı";"BUTTER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Satın almak";"BUY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Vasıtasıyla";"BY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Güle güle";"BYE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kafe";"CAFE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kek";"CAKE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Aramak";"CALL";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kamera";"CAMERA";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yapabilmek";"CAN";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Edememek";"CANNOT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Başkent";"CAPITAL";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Araba";"CAR";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kart";"CARD";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kariyer";"CAREER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Havuç";"CARROT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Taşımak";"CARRY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kedi";"CAT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sent";"CENT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yüzyıl";"CENTURY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Değişmek";"CHANGE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Çizelge";"CHART";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Ucuz";"CHEAP";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kontrol etmek";"CHECK";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Peynir";"CHEESE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Tavuk";"CHICKEN";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Çocuk";"CHILD";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Seçmek";"CHOOSE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sinema";"CINEMA";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Şehir";"CITY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sınıf";"CLASS";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sınıf";"CLASSROOM";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Temiz";"CLEAN";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Saat";"CLOCK";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kapamak";"CLOSE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Elbiseler";"CLOTHES";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kulüp";"CLUB";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kaban";"COAT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kahve";"COFFEE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Soğuk";"COLD";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kolej";"COLLEGE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Renk";"COLOUR";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Gelmek";"COME";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yaygın";"COMMON";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Şirket";"COMPANY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Karşılaştırmak";"COMPARE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Tamamlamak";"COMPLETE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Bilgisayar";"COMPUTER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Konser";"CONCERT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Pişirme";"COOKING";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Doğru";"CORRECT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Masraf";"COST";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yapabilirdi";"COULD";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yurt";"COUNTRY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kurs";"COURSE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kuzen";"COUSIN";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"İnek";"COW";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Krema";"CREAM";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yaratmak";"CREATE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kültür";"CULTURE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kupa";"CUP";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Müşteri";"CUSTOMER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Baba";"DAD";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Dans";"DANCE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Dansçı";"DANCER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Dans eden";"DANCING";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Karanlık";"DARK";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Zaman";"DATE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Gün";"DAY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sevgili";"DEAR";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Aralık";"DECEMBER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Karar vermek";"DECIDE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Lezzetli";"DELICIOUS";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Tanımlamak";"DESCRIBE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Tanımlama";"DESCRIPTION";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Tasarım";"DESIGN";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Masa";"DESK";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Detay";"DETAIL";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Diyalog";"DIALOGUE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sözlük";"DICTIONARY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Ölmek";"DIE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Diyet";"DIET";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Fark";"DIFFERENCE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Farklı";"DIFFERENT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Zor";"DIFFICULT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Akşam yemeği";"DINNER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kirli";"DIRTY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Tartışmak";"DISCUSS";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yemek";"DISH";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yapmak";"DO";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Doktor";"DOCTOR";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Köpek";"DOG";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Dolar";"DOLLAR";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kapı";"DOOR";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Aşağı";"DOWN";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Alt kat";"DOWNSTAIRS";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Çizmek";"DRAW";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Giysi";"DRESS";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"İçmek";"DRINK";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sürmek";"DRIVE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sürücü";"DRIVER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Boyunca";"DURING";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Her biri";"EACH";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kulak";"EAR";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Erken";"EARLY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Doğu";"EAST";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kolay";"EASY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yemek";"EAT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yumurta";"EGG";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sekiz";"EIGHT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Seksen";"EIGHTY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"On bir";"ELEVEN";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Başka";"ELSE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Email";"EMAIL";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Son";"END";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Tadını çıkarmak";"ENJOY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Euro";"EURO";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Akşam";"EVENING";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Olay";"EVENT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Asla";"EVER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Her";"EVERY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Herkes";"EVERYBODY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Herkes";"EVERYONE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Her şey";"EVERYTHING";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
