"Uzunluk";"Cevap";"Kategori";"Atom Numarası";"Türkçe İpucu";"İngilizce İpucu";"Alternatif Türkçe İpuçları";"Durum"
"1";"Q";"alphabet";"";"İngiliz alfabesinde P harfinden sonra";"After P in the English alphabet";"";"approved"
"1";"R";"alphabet";"";"İngiliz alfabesinde Q harfinden sonra";"After Q in the English alphabet";"";"approved"
"1";"S";"alphabet";"";"İngiliz alfabesinde R harfinden sonra";"After R in the English alphabet";"Atom numarası 16 olan elementin simgesi";"approved"
"1";"Ş";"alphabet";"";"Türk alfabesinde S harfinden sonra";"After S in the Turkish alphabet";"";"approved"
"1";"T";"alphabet";"";"İngiliz alfabesinde S harfinden sonra";"After S in the English alphabet";"";"approved"
"1";"U";"alphabet";"";"İngiliz alfabesinde T harfinden sonra";"After T in the English alphabet";"Atom numarası 92 olan elementin simgesi";"approved"
"1";"Ü";"alphabet";"";"Türk alfabesinde U harfinden sonra";"After U in the Turkish alphabet";"";"approved"
"1";"V";"alphabet";"";"İngiliz alfabesinde U harfinden sonra";"After U in the English alphabet";"Atom numarası 23 olan elementin simgesi";"approved"
"1";"W";"alphabet";"";"İngiliz alfabesinde V harfinden sonra";"After V in the English alphabet";"Atom numarası 74 olan elementin simgesi";"approved"
"1";"X";"alphabet";"";"İngiliz alfabesinde W harfinden sonra";"After W in the English alphabet";"";"approved"
"1";"Y";"alphabet";"";"İngiliz alfabesinde X harfinden sonra";"After X in the English alphabet";"Atom numarası 39 olan elementin simgesi";"approved"
"1";"Z";"alphabet";"";"İngiliz alfabesinde Y harfinden sonra";"After Y in the English alphabet";"";"approved"
"2";"AA";"alphabet-pair";"";"İngiliz alfabesinde A ve A harfleri";"Letters A and A in the English alphabet";"";"approved"
"2";"AB";"alphabet-pair";"";"İngiliz alfabesinde A ve B harfleri";"Letters A and B in the English alphabet";"";"approved"
"2";"AC";"element-symbol";"89";"Atom numarası 89 olan elementin simgesi";"Symbol of the element with atomic number 89";"İngiliz alfabesinde A ve C harfleri";"approved"
"2";"AÇ";"alphabet-pair";"";"Türk alfabesinde A ve Ç harfleri";"Letters A and Ç in the Turkish alphabet";"";"approved"
"2";"AD";"alphabet-pair";"";"İngiliz alfabesinde A ve D harfleri";"Letters A and D in the English alphabet";"";"approved"
"2";"AE";"alphabet-pair";"";"İngiliz alfabesinde A ve E harfleri";"Letters A and E in the English alphabet";"";"approved"
"2";"AF";"alphabet-pair";"";"İngiliz alfabesinde A ve F harfleri";"Letters A and F in the English alphabet";"";"approved"
"2";"AG";"element-symbol";"47";"Atom numarası 47 olan elementin simgesi";"Symbol of the element with atomic number 47";"İngiliz alfabesinde A ve G harfleri";"approved"
"2";"AĞ";"alphabet-pair";"";"Türk alfabesinde A ve Ğ harfleri";"Letters A and Ğ in the Turkish alphabet";"";"approved"
"2";"AH";"alphabet-pair";"";"İngiliz alfabesinde A ve H harfleri";"Letters A and H in the English alphabet";"";"approved"
"2";"AI";"alphabet-pair";"";"İngiliz alfabesinde A ve I harfleri";"Letters A and I in the English alphabet";"";"approved"
"2";"Aİ";"alphabet-pair";"";"Türk alfabesinde A ve İ harfleri";"Letters A and İ in the Turkish alphabet";"";"approved"
"2";"AJ";"alphabet-pair";"";"İngiliz alfabesinde A ve J harfleri";"Letters A and J in the English alphabet";"";"approved"
"2";"AK";"alphabet-pair";"";"İngiliz alfabesinde A ve K harfleri";"Letters A and K in the English alphabet";"";"approved"
"2";"AL";"element-symbol";"13";"Atom numarası 13 olan elementin simgesi";"Symbol of the element with atomic number 13";"İngiliz alfabesinde A ve L harfleri";"approved"
"2";"AM";"element-symbol";"95";"Atom numarası 95 olan elementin simgesi";"Symbol of the element with atomic number 95";"İngiliz alfabesinde A ve M harfleri";"approved"
"2";"AN";"alphabet-pair";"";"İngiliz alfabesinde A ve N harfleri";"Letters A and N in the English alphabet";"";"approved"
"2";"AO";"alphabet-pair";"";"İngiliz alfabesinde A ve O harfleri";"Letters A and O in the English alphabet";"";"approved"
"2";"AÖ";"alphabet-pair";"";"Türk alfabesinde A ve Ö harfleri";"Letters A and Ö in the Turkish alphabet";"";"approved"
"2";"AP";"alphabet-pair";"";"İngiliz alfabesinde A ve P harfleri";"Letters A and P in the English alphabet";"";"approved"
"2";"AQ";"alphabet-pair";"";"İngiliz alfabesinde A ve Q harfleri";"Letters A and Q in the English alphabet";"";"approved"
"2";"AR";"element-symbol";"18";"Atom numarası 18 olan elementin simgesi";"Symbol of the element with atomic number 18";"İngiliz alfabesinde A ve R harfleri";"approved"
"2";"AS";"element-symbol";"33";"Atom numarası 33 olan elementin simgesi";"Symbol of the element with atomic number 33";"İngiliz alfabesinde A ve S harfleri";"approved"
"2";"AŞ";"alphabet-pair";"";"Türk alfabesinde A ve Ş harfleri";"Letters A and Ş in the Turkish alphabet";"";"approved"
"2";"AT";"element-symbol";"85";"Atom numarası 85 olan elementin simgesi";"Symbol of the element with atomic number 85";"İngiliz alfabesinde A ve T harfleri";"approved"
"2";"AU";"element-symbol";"79";"Atom numarası 79 olan elementin simgesi";"Symbol of the element with atomic number 79";"İngiliz alfabesinde A ve U harfleri";"approved"
"2";"AÜ";"alphabet-pair";"";"Türk alfabesinde A ve Ü harfleri";"Letters A and Ü in the Turkish alphabet";"";"approved"
"2";"AV";"alphabet-pair";"";"İngiliz alfabesinde A ve V harfleri";"Letters A and V in the English alphabet";"";"approved"
"2";"AW";"alphabet-pair";"";"İngiliz alfabesinde A ve W harfleri";"Letters A and W in the English alphabet";"";"approved"
"2";"AX";"alphabet-pair";"";"İngiliz alfabesinde A ve X harfleri";"Letters A and X in the English alphabet";"";"approved"
"2";"AY";"alphabet-pair";"";"İngiliz alfabesinde A ve Y harfleri";"Letters A and Y in the English alphabet";"";"approved"
"2";"AZ";"alphabet-pair";"";"İngiliz alfabesinde A ve Z harfleri";"Letters A and Z in the English alphabet";"";"approved"
"2";"BA";"element-symbol";"56";"Atom numarası 56 olan elementin simgesi";"Symbol of the element with atomic number 56";"İngiliz alfabesinde B ve A harfleri";"approved"
"2";"BB";"alphabet-pair";"";"İngiliz alfabesinde B ve B harfleri";"Letters B and B in the English alphabet";"";"approved"
"2";"BC";"alphabet-pair";"";"İngiliz alfabesinde B ve C harfleri";"Letters B and C in the English alphabet";"";"approved"
"2";"BÇ";"alphabet-pair";"";"Türk alfabesinde B ve Ç harfleri";"Letters B and Ç in the Turkish alphabet";"";"approved"
"2";"BD";"alphabet-pair";"";"İngiliz alfabesinde B ve D harfleri";"Letters B and D in the English alphabet";"";"approved"
"2";"BE";"element-symbol";"4";"Atom numarası 4 olan elementin simgesi";"Symbol of the element with atomic number 4";"İngiliz alfabesinde B ve E harfleri";"approved"
"2";"BF";"alphabet-pair";"";"İngiliz alfabesinde B ve F harfleri";"Letters B and F in the English alphabet";"";"approved"
"2";"BG";"alphabet-pair";"";"İngiliz alfabesinde B ve G harfleri";"Letters B and G in the English alphabet";"";"approved"
"2";"BĞ";"alphabet-pair";"";"Türk alfabesinde B ve Ğ harfleri";"Letters B and Ğ in the Turkish alphabet";"";"approved"
"2";"BH";"element-symbol";"107";"Atom numarası 107 olan elementin simgesi";"Symbol of the element with atomic number 107";"İngiliz alfabesinde B ve H harfleri";"approved"
"2";"BI";"element-symbol";"83";"Atom numarası 83 olan elementin simgesi";"Symbol of the element with atomic number 83";"İngiliz alfabesinde B ve I harfleri";"approved"
"2";"Bİ";"alphabet-pair";"";"Türk alfabesinde B ve İ harfleri";"Letters B and İ in the Turkish alphabet";"";"approved"
"2";"BJ";"alphabet-pair";"";"İngiliz alfabesinde B ve J harfleri";"Letters B and J in the English alphabet";"";"approved"
"2";"BK";"element-symbol";"97";"Atom numarası 97 olan elementin simgesi";"Symbol of the element with atomic number 97";"İngiliz alfabesinde B ve K harfleri";"approved"
"2";"BL";"alphabet-pair";"";"İngiliz alfabesinde B ve L harfleri";"Letters B and L in the English alphabet";"";"approved"
"2";"BM";"alphabet-pair";"";"İngiliz alfabesinde B ve M harfleri";"Letters B and M in the English alphabet";"";"approved"
"2";"BN";"alphabet-pair";"";"İngiliz alfabesinde B ve N harfleri";"Letters B and N in the English alphabet";"";"approved"
"2";"BO";"alphabet-pair";"";"İngiliz alfabesinde B ve O harfleri";"Letters B and O in the English alphabet";"";"approved"
"2";"BÖ";"alphabet-pair";"";"Türk alfabesinde B ve Ö harfleri";"Letters B and Ö in the Turkish alphabet";"";"approved"
"2";"BP";"alphabet-pair";"";"İngiliz alfabesinde B ve P harfleri";"Letters B and P in the English alphabet";"";"approved"
"2";"BQ";"alphabet-pair";"";"İngiliz alfabesinde B ve Q harfleri";"Letters B and Q in the English alphabet";"";"approved"
"2";"BR";"element-symbol";"35";"Atom numarası 35 olan elementin simgesi";"Symbol of the element with atomic number 35";"İngiliz alfabesinde B ve R harfleri";"approved"
"2";"BS";"alphabet-pair";"";"İngiliz alfabesinde B ve S harfleri";"Letters B and S in the English alphabet";"";"approved"
"2";"BŞ";"alphabet-pair";"";"Türk alfabesinde B ve Ş harfleri";"Letters B and Ş in the Turkish alphabet";"";"approved"
"2";"BT";"alphabet-pair";"";"İngiliz alfabesinde B ve T harfleri";"Letters B and T in the English alphabet";"";"approved"
"2";"BU";"alphabet-pair";"";"İngiliz alfabesinde B ve U harfleri";"Letters B and U in the English alphabet";"";"approved"
"2";"BÜ";"alphabet-pair";"";"Türk alfabesinde B ve Ü harfleri";"Letters B and Ü in the Turkish alphabet";"";"approved"
"2";"BV";"alphabet-pair";"";"İngiliz alfabesinde B ve V harfleri";"Letters B and V in the English alphabet";"";"approved"
"2";"BW";"alphabet-pair";"";"İngiliz alfabesinde B ve W harfleri";"Letters B and W in the English alphabet";"";"approved"
"2";"BX";"alphabet-pair";"";"İngiliz alfabesinde B ve X harfleri";"Letters B and X in the English alphabet";"";"approved"
"2";"BY";"alphabet-pair";"";"İngiliz alfabesinde B ve Y harfleri";"Letters B and Y in the English alphabet";"";"approved"
"2";"BZ";"alphabet-pair";"";"İngiliz alfabesinde B ve Z harfleri";"Letters B and Z in the English alphabet";"";"approved"
"2";"CA";"element-symbol";"20";"Atom numarası 20 olan elementin simgesi";"Symbol of the element with atomic number 20";"İngiliz alfabesinde C ve A harfleri";"approved"
"2";"ÇA";"alphabet-pair";"";"Türk alfabesinde Ç ve A harfleri";"Letters Ç and A in the Turkish alphabet";"";"approved"
"2";"CB";"alphabet-pair";"";"İngiliz alfabesinde C ve B harfleri";"Letters C and B in the English alphabet";"";"approved"
"2";"ÇB";"alphabet-pair";"";"Türk alfabesinde Ç ve B harfleri";"Letters Ç and B in the Turkish alphabet";"";"approved"
"2";"CC";"alphabet-pair";"";"İngiliz alfabesinde C ve C harfleri";"Letters C and C in the English alphabet";"";"approved"
"2";"CÇ";"alphabet-pair";"";"Türk alfabesinde C ve Ç harfleri";"Letters C and Ç in the Turkish alphabet";"";"approved"
"2";"ÇC";"alphabet-pair";"";"Türk alfabesinde Ç ve C harfleri";"Letters Ç and C in the Turkish alphabet";"";"approved"
"2";"ÇÇ";"alphabet-pair";"";"Türk alfabesinde Ç ve Ç harfleri";"Letters Ç and Ç in the Turkish alphabet";"";"approved"
"2";"CD";"element-symbol";"48";"Atom numarası 48 olan elementin simgesi";"Symbol of the element with atomic number 48";"İngiliz alfabesinde C ve D harfleri";"approved"
"2";"ÇD";"alphabet-pair";"";"Türk alfabesinde Ç ve D harfleri";"Letters Ç and D in the Turkish alphabet";"";"approved"
"2";"CE";"element-symbol";"58";"Atom numarası 58 olan elementin simgesi";"Symbol of the element with atomic number 58";"İngiliz alfabesinde C ve E harfleri";"approved"
"2";"ÇE";"alphabet-pair";"";"Türk alfabesinde Ç ve E harfleri";"Letters Ç and E in the Turkish alphabet";"";"approved"
"2";"CF";"element-symbol";"98";"Atom numarası 98 olan elementin simgesi";"Symbol of the element with atomic number 98";"İngiliz alfabesinde C ve F harfleri";"approved"
"2";"ÇF";"alphabet-pair";"";"Türk alfabesinde Ç ve F harfleri";"Letters Ç and F in the Turkish alphabet";"";"approved"
"2";"CG";"alphabet-pair";"";"İngiliz alfabesinde C ve G harfleri";"Letters C and G in the English alphabet";"";"approved"
"2";"CĞ";"alphabet-pair";"";"Türk alfabesinde C ve Ğ harfleri";"Letters C and Ğ in the Turkish alphabet";"";"approved"
"2";"ÇG";"alphabet-pair";"";"Türk alfabesinde Ç ve G harfleri";"Letters Ç and G in the Turkish alphabet";"";"approved"
"2";"ÇĞ";"alphabet-pair";"";"Türk alfabesinde Ç ve Ğ harfleri";"Letters Ç and Ğ in the Turkish alphabet";"";"approved"
"2";"CH";"alphabet-pair";"";"İngiliz alfabesinde C ve H harfleri";"Letters C and H in the English alphabet";"";"approved"
"2";"ÇH";"alphabet-pair";"";"Türk alfabesinde Ç ve H harfleri";"Letters Ç and H in the Turkish alphabet";"";"approved"
"2";"CI";"alphabet-pair";"";"İngiliz alfabesinde C ve I harfleri";"Letters C and I in the English alphabet";"";"approved"
"2";"Cİ";"alphabet-pair";"";"Türk alfabesinde C ve İ harfleri";"Letters C and İ in the Turkish alphabet";"";"approved"
"2";"ÇI";"alphabet-pair";"";"Türk alfabesinde Ç ve I harfleri";"Letters Ç and I in the Turkish alphabet";"";"approved"
"2";"Çİ";"alphabet-pair";"";"Türk alfabesinde Ç ve İ harfleri";"Letters Ç and İ in the Turkish alphabet";"";"approved"
"2";"CJ";"alphabet-pair";"";"İngiliz alfabesinde C ve J harfleri";"Letters C and J in the English alphabet";"";"approved"
"2";"ÇJ";"alphabet-pair";"";"Türk alfabesinde Ç ve J harfleri";"Letters Ç and J in the Turkish alphabet";"";"approved"
"2";"CK";"alphabet-pair";"";"İngiliz alfabesinde C ve K harfleri";"Letters C and K in the English alphabet";"";"approved"
"2";"ÇK";"alphabet-pair";"";"Türk alfabesinde Ç ve K harfleri";"Letters Ç and K in the Turkish alphabet";"";"approved"
"2";"CL";"element-symbol";"17";"Atom numarası 17 olan elementin simgesi";"Symbol of the element with atomic number 17";"İngiliz alfabesinde C ve L harfleri";"approved"
"2";"ÇL";"alphabet-pair";"";"Türk alfabesinde Ç ve L harfleri";"Letters Ç and L in the Turkish alphabet";"";"approved"
"2";"CM";"element-symbol";"96";"Atom numarası 96 olan elementin simgesi";"Symbol of the element with atomic number 96";"İngiliz alfabesinde C ve M harfleri";"approved"
"2";"ÇM";"alphabet-pair";"";"Türk alfabesinde Ç ve M harfleri";"Letters Ç and M in the Turkish alphabet";"";"approved"
"2";"CN";"element-symbol";"112";"Atom numarası 112 olan elementin simgesi";"Symbol of the element with atomic number 112";"İngiliz alfabesinde C ve N harfleri";"approved"
"2";"ÇN";"alphabet-pair";"";"Türk alfabesinde Ç ve N harfleri";"Letters Ç and N in the Turkish alphabet";"";"approved"
"2";"CO";"element-symbol";"27";"Atom numarası 27 olan elementin simgesi";"Symbol of the element with atomic number 27";"İngiliz alfabesinde C ve O harfleri";"approved"
"2";"CÖ";"alphabet-pair";"";"Türk alfabesinde C ve Ö harfleri";"Letters C and Ö in the Turkish alphabet";"";"approved"
"2";"ÇO";"alphabet-pair";"";"Türk alfabesinde Ç ve O harfleri";"Letters Ç and O in the Turkish alphabet";"";"approved"
"2";"ÇÖ";"alphabet-pair";"";"Türk alfabesinde Ç ve Ö harfleri";"Letters Ç and Ö in the Turkish alphabet";"";"approved"
"2";"CP";"alphabet-pair";"";"İngiliz alfabesinde C ve P harfleri";"Letters C and P in the English alphabet";"";"approved"
"2";"ÇP";"alphabet-pair";"";"Türk alfabesinde Ç ve P harfleri";"Letters Ç and P in the Turkish alphabet";"";"approved"
"2";"CQ";"alphabet-pair";"";"İngiliz alfabesinde C ve Q harfleri";"Letters C and Q in the English alphabet";"";"approved"
"2";"CR";"element-symbol";"24";"Atom numarası 24 olan elementin simgesi";"Symbol of the element with atomic number 24";"İngiliz alfabesinde C ve R harfleri";"approved"
"2";"ÇR";"alphabet-pair";"";"Türk alfabesinde Ç ve R harfleri";"Letters Ç and R in the Turkish alphabet";"";"approved"
"2";"CS";"element-symbol";"55";"Atom numarası 55 olan elementin simgesi";"Symbol of the element with atomic number 55";"İngiliz alfabesinde C ve S harfleri";"approved"
"2";"CŞ";"alphabet-pair";"";"Türk alfabesinde C ve Ş harfleri";"Letters C and Ş in the Turkish alphabet";"";"approved"
"2";"ÇS";"alphabet-pair";"";"Türk alfabesinde Ç ve S harfleri";"Letters Ç and S in the Turkish alphabet";"";"approved"
"2";"ÇŞ";"alphabet-pair";"";"Türk alfabesinde Ç ve Ş harfleri";"Letters Ç and Ş in the Turkish alphabet";"";"approved"
"2";"CT";"alphabet-pair";"";"İngiliz alfabesinde C ve T harfleri";"Letters C and T in the English alphabet";"";"approved"
"2";"ÇT";"alphabet-pair";"";"Türk alfabesinde Ç ve T harfleri";"Letters Ç and T in the Turkish alphabet";"";"approved"
"2";"CU";"element-symbol";"29";"Atom numarası 29 olan elementin simgesi";"Symbol of the element with atomic number 29";"İngiliz alfabesinde C ve U harfleri";"approved"
"2";"CÜ";"alphabet-pair";"";"Türk alfabesinde C ve Ü harfleri";"Letters C and Ü in the Turkish alphabet";"";"approved"
"2";"ÇU";"alphabet-pair";"";"Türk alfabesinde Ç ve U harfleri";"Letters Ç and U in the Turkish alphabet";"";"approved"
"2";"ÇÜ";"alphabet-pair";"";"Türk alfabesinde Ç ve Ü harfleri";"Letters Ç and Ü in the Turkish alphabet";"";"approved"
"2";"CV";"alphabet-pair";"";"İngiliz alfabesinde C ve V harfleri";"Letters C and V in the English alphabet";"";"approved"
"2";"ÇV";"alphabet-pair";"";"Türk alfabesinde Ç ve V harfleri";"Letters Ç and V in the Turkish alphabet";"";"approved"
"2";"CW";"alphabet-pair";"";"İngiliz alfabesinde C ve W harfleri";"Letters C and W in the English alphabet";"";"approved"
"2";"CX";"alphabet-pair";"";"İngiliz alfabesinde C ve X harfleri";"Letters C and X in the English alphabet";"";"approved"
"2";"CY";"alphabet-pair";"";"İngiliz alfabesinde C ve Y harfleri";"Letters C and Y in the English alphabet";"";"approved"
"2";"ÇY";"alphabet-pair";"";"Türk alfabesinde Ç ve Y harfleri";"Letters Ç and Y in the Turkish alphabet";"";"approved"
"2";"CZ";"alphabet-pair";"";"İngiliz alfabesinde C ve Z harfleri";"Letters C and Z in the English alphabet";"";"approved"
"2";"ÇZ";"alphabet-pair";"";"Türk alfabesinde Ç ve Z harfleri";"Letters Ç and Z in the Turkish alphabet";"";"approved"
"2";"DA";"alphabet-pair";"";"İngiliz alfabesinde D ve A harfleri";"Letters D and A in the English alphabet";"";"approved"
"2";"DB";"element-symbol";"105";"Atom numarası 105 olan elementin simgesi";"Symbol of the element with atomic number 105";"İngiliz alfabesinde D ve B harfleri";"approved"
"2";"DC";"alphabet-pair";"";"İngiliz alfabesinde D ve C harfleri";"Letters D and C in the English alphabet";"";"approved"
"2";"DÇ";"alphabet-pair";"";"Türk alfabesinde D ve Ç harfleri";"Letters D and Ç in the Turkish alphabet";"";"approved"
"2";"DD";"alphabet-pair";"";"İngiliz alfabesinde D ve D harfleri";"Letters D and D in the English alphabet";"";"approved"
"2";"DE";"alphabet-pair";"";"İngiliz alfabesinde D ve E harfleri";"Letters D and E in the English alphabet";"";"approved"
"2";"DF";"alphabet-pair";"";"İngiliz alfabesinde D ve F harfleri";"Letters D and F in the English alphabet";"";"approved"
"2";"DG";"alphabet-pair";"";"İngiliz alfabesinde D ve G harfleri";"Letters D and G in the English alphabet";"";"approved"
"2";"DĞ";"alphabet-pair";"";"Türk alfabesinde D ve Ğ harfleri";"Letters D and Ğ in the Turkish alphabet";"";"approved"
"2";"DH";"alphabet-pair";"";"İngiliz alfabesinde D ve H harfleri";"Letters D and H in the English alphabet";"";"approved"
"2";"DI";"alphabet-pair";"";"İngiliz alfabesinde D ve I harfleri";"Letters D and I in the English alphabet";"";"approved"
"2";"Dİ";"alphabet-pair";"";"Türk alfabesinde D ve İ harfleri";"Letters D and İ in the Turkish alphabet";"";"approved"
"2";"DJ";"alphabet-pair";"";"İngiliz alfabesinde D ve J harfleri";"Letters D and J in the English alphabet";"";"approved"
"2";"DK";"alphabet-pair";"";"İngiliz alfabesinde D ve K harfleri";"Letters D and K in the English alphabet";"";"approved"
"2";"DL";"alphabet-pair";"";"İngiliz alfabesinde D ve L harfleri";"Letters D and L in the English alphabet";"";"approved"
"2";"DM";"alphabet-pair";"";"İngiliz alfabesinde D ve M harfleri";"Letters D and M in the English alphabet";"";"approved"
"2";"DN";"alphabet-pair";"";"İngiliz alfabesinde D ve N harfleri";"Letters D and N in the English alphabet";"";"approved"
"2";"DO";"alphabet-pair";"";"İngiliz alfabesinde D ve O harfleri";"Letters D and O in the English alphabet";"";"approved"
"2";"DÖ";"alphabet-pair";"";"Türk alfabesinde D ve Ö harfleri";"Letters D and Ö in the Turkish alphabet";"";"approved"
"2";"DP";"alphabet-pair";"";"İngiliz alfabesinde D ve P harfleri";"Letters D and P in the English alphabet";"";"approved"
"2";"DQ";"alphabet-pair";"";"İngiliz alfabesinde D ve Q harfleri";"Letters D and Q in the English alphabet";"";"approved"
"2";"DR";"alphabet-pair";"";"İngiliz alfabesinde D ve R harfleri";"Letters D and R in the English alphabet";"";"approved"
"2";"DS";"element-symbol";"110";"Atom numarası 110 olan elementin simgesi";"Symbol of the element with atomic number 110";"İngiliz alfabesinde D ve S harfleri";"approved"
"2";"DŞ";"alphabet-pair";"";"Türk alfabesinde D ve Ş harfleri";"Letters D and Ş in the Turkish alphabet";"";"approved"
"2";"DT";"alphabet-pair";"";"İngiliz alfabesinde D ve T harfleri";"Letters D and T in the English alphabet";"";"approved"
"2";"DU";"alphabet-pair";"";"İngiliz alfabesinde D ve U harfleri";"Letters D and U in the English alphabet";"";"approved"
"2";"DÜ";"alphabet-pair";"";"Türk alfabesinde D ve Ü harfleri";"Letters D and Ü in the Turkish alphabet";"";"approved"
"2";"DV";"alphabet-pair";"";"İngiliz alfabesinde D ve V harfleri";"Letters D and V in the English alphabet";"";"approved"
"2";"DW";"alphabet-pair";"";"İngiliz alfabesinde D ve W harfleri";"Letters D and W in the English alphabet";"";"approved"
"2";"DX";"alphabet-pair";"";"İngiliz alfabesinde D ve X harfleri";"Letters D and X in the English alphabet";"";"approved"
"2";"DY";"element-symbol";"66";"Atom numarası 66 olan elementin simgesi";"Symbol of the element with atomic number 66";"İngiliz alfabesinde D ve Y harfleri";"approved"
"2";"DZ";"alphabet-pair";"";"İngiliz alfabesinde D ve Z harfleri";"Letters D and Z in the English alphabet";"";"approved"
"2";"EA";"alphabet-pair";"";"İngiliz alfabesinde E ve A harfleri";"Letters E and A in the English alphabet";"";"approved"
"2";"EB";"alphabet-pair";"";"İngiliz alfabesinde E ve B harfleri";"Letters E and B in the English alphabet";"";"approved"
"2";"EC";"alphabet-pair";"";"İngiliz alfabesinde E ve C harfleri";"Letters E and C in the English alphabet";"";"approved"
"2";"EÇ";"alphabet-pair";"";"Türk alfabesinde E ve Ç harfleri";"Letters E and Ç in the Turkish alphabet";"";"approved"
"2";"ED";"alphabet-pair";"";"İngiliz alfabesinde E ve D harfleri";"Letters E and D in the English alphabet";"";"approved"
"2";"EE";"alphabet-pair";"";"İngiliz alfabesinde E ve E harfleri";"Letters E and E in the English alphabet";"";"approved"
"2";"EF";"alphabet-pair";"";"İngiliz alfabesinde E ve F harfleri";"Letters E and F in the English alphabet";"";"approved"
"2";"EG";"alphabet-pair";"";"İngiliz alfabesinde E ve G harfleri";"Letters E and G in the English alphabet";"";"approved"
"2";"EĞ";"alphabet-pair";"";"Türk alfabesinde E ve Ğ harfleri";"Letters E and Ğ in the Turkish alphabet";"";"approved"
"2";"EH";"alphabet-pair";"";"İngiliz alfabesinde E ve H harfleri";"Letters E and H in the English alphabet";"";"approved"
"2";"EI";"alphabet-pair";"";"İngiliz alfabesinde E ve I harfleri";"Letters E and I in the English alphabet";"";"approved"
"2";"Eİ";"alphabet-pair";"";"Türk alfabesinde E ve İ harfleri";"Letters E and İ in the Turkish alphabet";"";"approved"
"2";"EJ";"alphabet-pair";"";"İngiliz alfabesinde E ve J harfleri";"Letters E and J in the English alphabet";"";"approved"
"2";"EK";"alphabet-pair";"";"İngiliz alfabesinde E ve K harfleri";"Letters E and K in the English alphabet";"";"approved"
"2";"EL";"alphabet-pair";"";"İngiliz alfabesinde E ve L harfleri";"Letters E and L in the English alphabet";"";"approved"
"2";"EM";"alphabet-pair";"";"İngiliz alfabesinde E ve M harfleri";"Letters E and M in the English alphabet";"";"approved"
"2";"EN";"alphabet-pair";"";"İngiliz alfabesinde E ve N harfleri";"Letters E and N in the English alphabet";"";"approved"
"2";"EO";"alphabet-pair";"";"İngiliz alfabesinde E ve O harfleri";"Letters E and O in the English alphabet";"";"approved"
"2";"EÖ";"alphabet-pair";"";"Türk alfabesinde E ve Ö harfleri";"Letters E and Ö in the Turkish alphabet";"";"approved"
"2";"EP";"alphabet-pair";"";"İngiliz alfabesinde E ve P harfleri";"Letters E and P in the English alphabet";"";"approved"
"2";"EQ";"alphabet-pair";"";"İngiliz alfabesinde E ve Q harfleri";"Letters E and Q in the English alphabet";"";"approved"
